episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,0.18202298422274854,0.0019324993797267664,0.71557,0.0,sharpe_ratio,1,0,0.9443212959260465,0.15355967520597424,0.24808767850060692,0.6189734054268986,-0.31704558142528183,-0.11378379033198294,-0.013440224258567723,0.21950045736124132,-0.06123096243234049,-0.3337894516759222
2,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,0.9695274851357386,0.0001647156927564773,0.4311400000000001,0.0,sharpe_ratio,0,1,0.6528527200132435,0.11162704632392484,0.2057040137756863,0.5426585717751263,-0.2621328666109237,-0.33047550882394194,-0.1015319629098872,0.19028198059213758,-0.5335868514397967,-0.40091460019737135
3,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,1.3147148126322517,0.00014629774312260882,0.14671,0.0,sharpe_ratio,1,0,7.771065766663488,0.48755579714424946,0.25098030088629925,1.942605835687181,-0.19094638510522433,-0.09995280208352264,-0.0046091517119674075,0.23733112829778147,-0.01942076349202817,-0.42189791780994945
4,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,1.7087661982790778,0.0001913256803616905,0.050000000000000044,0.0,sharpe_ratio,1,0,4.242394790108166,0.35365749118668655,0.21854027433589823,1.6182714708370505,-0.22409944470532106,0.3797851142019002,0.12413352533860311,0.18167985492643843,0.6832542077318609,-0.2400133089490979
5,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.3498331347826027,0.00020364227195979737,0.050000000000000044,0.0,sharpe_ratio,0,1,7.2058965994203525,0.4589974456625425,0.21643144824184835,2.1207520875138357,-0.20736318430030476,-0.023523252114460047,0.005594168659416754,0.16108264106561057,0.03472856306806016,-0.3160849075536467
6,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.884984871705387,0.00018747443488196974,0.050000000000000044,0.0,sharpe_ratio,0,2,11.517241694163928,0.5798211296667597,0.2520349831499139,2.3005581305428304,-0.22449010113573797,-0.3182760953081849,-0.09622433876381586,0.19185540386687894,-0.5015461479030437,-0.41946345243791516
7,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.5134787030912484,0.0002019592208325326,0.050000000000000044,0.0,sharpe_ratio,0,3,6.480815042010263,0.4484603064958037,0.2514241629580353,1.7836802207855227,-0.22196615596413571,-0.4889488045953928,-0.17366001834927958,0.19368379740332914,-0.8966161376299752,-0.55555190020367
8,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.047773307370484,0.0001771824001429093,0.050000000000000044,0.0,sharpe_ratio,0,4,23.572967966370836,0.7608338908280663,0.23140748944393308,3.287853356243278,-0.16153519224099355,-0.40014904224680936,-0.12626708478427628,0.22137298385931456,-0.5703816363812518,-0.48343983117487055
9,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.0196810902952604,0.00017859871050843106,0.050000000000000044,0.0,sharpe_ratio,0,5,17.547258425986644,0.6799116198177066,0.23281730040346735,2.9203655340021317,-0.22857552739249387,0.19064355134349453,0.0813498516911666,0.21746569665075127,0.3740813054383194,-0.3446045221721198
10,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.8255144783166344,0.00018009419498195886,0.050000000000000044,0.0,sharpe_ratio,0,6,19.712146198758173,0.7200258548009404,0.25312783305081127,2.8445147502068924,-0.28226734772526696,-0.054212866418173467,0.009168801095521317,0.2304139851541904,0.0397927282468799,-0.3512996052117311
11,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.5793448434156026,0.00018498577273098668,0.050000000000000044,0.0,sharpe_ratio,0,7,37.93030605784922,0.8876181900144651,0.19424825826265382,4.5695039839907725,-0.1702308568318761,-0.3448351267138514,-0.10903066639964631,0.18184845152019893,-0.5995688469612053,-0.4388613621228359
12,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.218372577454055,0.00019514792157541126,0.050000000000000044,0.0,sharpe_ratio,0,8,40.239647354348136,0.9202460368276553,0.22913919467102828,4.016100511083836,-0.16399971362575583,0.009979919319923036,0.024670130037234728,0.20600279667998483,0.11975628697681497,-0.338068483760546
13,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.1033892244383168,0.0001925565820583469,0.050000000000000044,0.0,sharpe_ratio,0,9,30.23423891001548,0.8333669235464507,0.23131634841512874,3.6027151961212014,-0.22313289497741395,-0.27892661261979124,-0.07650056806418504,0.2117984481513303,-0.3611951302378064,-0.379333954500939
14,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.4768547058664283,0.00021128658670970936,0.050000000000000044,0.0,sharpe_ratio,0,10,47.28054963721582,0.9702372519175289,0.22569847869723816,4.298820521599739,-0.14436001817454058,0.17762199409377666,0.07716820803627367,0.21542130681754587,0.35821994201173596,-0.35326526348005693
